lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
149177	brahman	m	6240	4064	0		one who Prays; a devot or religious man; a Brāhman who is a knower of Vedic texts or spells; one versed in sacred knowledge; name of Bṛhaspati (as the priest of the gods); one of the 4 principal priests or Ṛtvijas; Brahmā or the one impersonal universal spirit manifested as a personal Creator and as the first of the triad of personal gods; = brahmaṇa āyuḥ; a lifetime of Brahmā; an inhabitant of Brahmā's heaven; the sun; name of Śiva; the Veda (?); the intellect; name of a star; Aurigae; a particular astron. Yoga; name of the 9th Muhūrta; (with Jainas) a particular Kalpa; name of the servant of the 10th Arhat of the present Avasarpiṇi; name of a magician; a kind of plant (?); the Brahmapurāṇa; [gramm.] the word 'brahman'; name of a former Buddha
145625	pūrva	pron	6148	3122	0		being before or in front fore; first; eastern; to the east of (abl.); former; prior; preceding; previous to; earlier than (abl. or comp.); attended with; ancient; old; customary; traditional; first (in a series); initial; lowest (opp. to uttara); foregoing; aforesaid; mentioned before (abl.)
124503	guṇa	mn	6053	3440	0		a single thread or strand of a cord or twine; string or thread; rope; a garland; an auxiliary act; a secondary dish; side-dish; the secondary or less immediate object of an action; a quality; peculiarity; attribute or property; an attribute of the 5 elements (each of which has its own peculiar quality or qualities as well as organ of sense); (in Śāṃkhya phil.) an ingredient or constituent of Prakṛti; chief quality of all existing beings; the number "three"; a property or characteristic of all created things; an epithet; good quality; virtue; merit; excellence; the merit of composition (consistency); elegance of expression; the peculiar properties of the letters; the first gradation of a vowel; the vowels a, e and o; an organ of sense; a cook; Bhīma-sena; a bow-string; (in geom.) a sinew; the string of a musical instrument; a multiplier; co-efficient (in alg.); subdivision; species; the six subdivisions for a king in foreign politics; a subordinate part of any action
116433	śata	mn	6046	3602	0		a hundred; any very large number; name of a measure
163158	prāp	1.P.,5.Ā.,4.P.,5.P.	6022	2554	618	0.92	to attain to; to reach; to arrive at; to meet with; to find; to obtain; to receive; to incur (a fine); to suffer (capital punishment); to flee in all directions; to extend; to stretch; to reach to; to be present or at hand; (in gram.) to pass or be changed into (acc.); to be in force; to obtain
163742	adas	pron	5996	5993	0		jener; yonder
149743	brāhmaṇa	m	5958	5060	0		one who has divine knowledge (sometimes applied to Agni); a Brāhman; a man belonging to the 1st of the 3 twice-born classes and of the 4 original divisions of the Hindū body; a Brāhman in the second stage (between Mātra and Śrotriya); name of the 28th lunar mansion
157298	yuj	1. P.	5933	4460	361	0.92	to yoke or join or fasten or harness (horses or a chariot); to make ready; to prepare; to arrange; to fit out; to set to work; to use; to employ; to apply; to equip (an army); to offer; to perform (prayers); to put on (arrows on a bow-string); to fix in; to insert; to inject (semen); to appoint to; to charge or intrust with; to command; to enjoin; to turn or direct or fix or concentrate (the mind); to concentrate the mind in order to obtain union with the Universal spirit; to be absorbed in meditation; to recollect; to recall; to join; to unite; to connect; to add; to bring together; to confer; to bestow anything (acc.) upon (gen. or loc.); to become possessed of; to use for one's self; to bring into possession of; to furnish or endow with (instr.); to join one's self to (acc.); (in astron.) to come into union or conjunction with (acc.); to be yoked or harnessed or joined; to attach one's self to; to be made ready or prepared for (dat.); to be united in marriage; to be endowed with or possessed of (instr. with or without saha); (in astron.) to come into conjunction with (instr.); to accrue to; to fall to the lot of (gen.); to be fit or proper or suitable or right; to suit anything (instr.); to be fitted for; to belong to or suit any one; to deserve to be (nom.); to not to be fit or proper etc. for
203679	tā	f	5919	5522	0		ifc. abstracta; name of Lakṣmī
166386	go	mf	5821	3728	0		an ox; cattle; a herd of cattle; milk; flesh; skin; hide; leather; bow-string; sinew; the stars; rays of light; the sign Taurus; the sun; the moon; a kind of medicial plant; a singer; horse; name of various men; a class of sunrays creating heat; [gramm.] the word 'go'
166107	sama	pron	5763	3927	0		even; flat; level; parallel; same; similar; like; equivalent; fair; constant; ordinary; common; good; upright; easy; whole
213041	ā	ind	5743	2	0		[gramm.] the letter or sound ā; (prep.) up to; (prep.) until; [gramm.] substitute element -ā; ah!
156090	prāṇa	m	5692	4360	0		the breath of life; breath; respiration; life; a vital organ; air inhaled; wind; breath (as a sign of strength); energy; power; a breath (as a measure of time); the time requisite for the pronunciation of 10 long syllables = 1/6 Vināḍikā; name of a Kalpa (the 6th day in the light half of Brahmā's month); (in Sāṃkhya) the spirit; (in Vedānts) the spirit identified with the totality of dreaming spirits; poetical inspiration; myrrh; a name of the letter y; name of a Sāman; name of Brahmā; name of Viṣṇu; name of a Vasu; name of a son of the Vasu Dhara; name of a Marut; name of a son of Dhātṛ; name of a son of Vidhātṛ; name of a Ṛṣi in the 2nd Manvantara; vital points on the body; spirit; vitality; a vital air
157263	yā	2. Ā.	5649	724	2162	0.84	to go; to move; to set out; to travel; to withdraw; to flee; to go to for any purpose (inf.)
100106	soma	m	5626	4367	0		juice; extract; (esp.) the juice of the Soma plant; the Soma plant itself; the moon or moon-god; a Soma sacrifice; a day destined for extracting the Soma-juice; Monday; nectar; camphor; air; wind; water; a drug of supposed magical properties; a particular mountain or mountainous range; a particular class of Pitṛs; name of various authors; name of a monkey-chief; name of Śiva
167009	ap	m	5533	5381	0		water
76023	vāc	f	5501	4747	0		speech; voice; talk; language; sound; a word; saying; phrase; sentence; statement; asseveration; Speech personified (in various manners or forms); the goddess of speech; a literary work; name of a teacheress
166283	dvi	nr	5480	3514	0		two
154412	bahu	adj	5432	3228	0		much; many; abundant; great in quantity
