rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
37357	12945	kaśya	n	NOUN	3	a horse's flank; a spirituous liquor
37358	12120	karṇīratha	m	NOUN	3	a kind of litter
37359	130101	gantrī	f	NOUN	3	a cart or car (drawn by horses)
37360	155896	prāsaṅga	m	NOUN	3	a kind of yoke for cattle
37361	28231	niṣādin	m	NOUN	3	an elephant-keeper or driver; name of Ekalavya
37362	113482	sāhasra	m	NOUN	3	an army or detachment consisting of a thousand men; (pl.) name of four Ekāhas at which a thousand (cows) are given as a fee
37363	74746	varmita	adj	ADJ	3	accoutred
37364	215843	abhyamitra	adj	ADJ	3	against the enemy
37365	38415	ūrjasvala	adj	ADJ	3	powerful; strong; mighty
37366	111667	sāṃyugīna	adj	ADJ	3	relating to war or battle; warlike; martial
37367	15868	padātika	m	NOUN	3	a footman; foot-soldier; peon
37368	22631	kālapṛṣṭha	m	NOUN	3	a species of antelope; a heron; a bow; Karṇa's bow; name of a Dānava
37369	12521	kalamba	m	NOUN	3	the stalk of a pot-herb; Convolvulus repens; Nauclea Cadamba; an arrow
37370	79954	ropa	m	NOUN	3	the act of raising; setting up; planting; fixing in; an arrow
37371	105048	sarvābhisāra	m	NOUN	3	an attack with a complete army
37372	22103	abhikrama	m	NOUN	3	stepping near; approaching; assault; attack; overpowering; ascending; undertaking; attempt; beginning
37373	134088	krandana	n	NOUN	3	crying out; calling; mutual daring or defiance; challenging; lamenting; weeping
37374	32042	ambara	m	NOUN	3	name of a people; [alchemy]; [rel.] name of Śiva
37375	38373	ūruja	m	NOUN	3	a Vaiśya (supposed to be born from Brahmā's thigh); name of the Ṛṣi Aurva
37376	156940	grāhaka	m	NOUN	3	falcon (catching snakes); Marsilea quadrifolia; name of a demon causing diseases; a hawk
37377	58628	āpāda	m	NOUN	3	reward; remuneration; arriving at
37378	155935	prājana	mn	NOUN	3	a whip; goad
37379	16577	satīnaka	m	NOUN	3	Pisum Arvense
37380	4361	kṛṣṇikā	f	NOUN	3	black; black substance; a kind of bird; black mustard (Sinapis ramosa)
37381	982	kaṇiśa	mn	NOUN	3	an ear or spike of corn
37382	155042	praseva	m	NOUN	3	a sack or a leather bottle; the damper on the neck of a lute
37383	58696	āpūpika	m	NOUN	3	a baker; confectioner
37384	6237	aṅgāradhānikā	f	NOUN	3	a portable fire-place
37385	53773	aliñjara	m	NOUN	3	a small earthen water-jar
37386	24355	kutū	f	NOUN	3	a leathern oil-bottle
37387	142681	vellaja	n	NOUN	3	black pepper
37388	203729	dhānyāka	n	NOUN	3	[bot.] coriander
37389	174804	vaśira	n	NOUN	3	a kind of salt; sea salt
37390	216821	śūlākṛ	8.P.,8.Ā.	VERB	3	to place on a spit
37391	28437	nisrāva	m	NOUN	3	torrent; the scum of boiled rice
37392	40403	śrāṇā	f	NOUN	3	rice gruel
37393	44554	navoddhṛta	n	NOUN	3	fresh butter
37394	75004	valgana	n	NOUN	3	bounding; jumping; galloping
37395	167299	catuṣpattra	adj	ADJ	3	vierbl￤ttrig
37396	12195	karpara	n	NOUN	3	a pot; potsherd; a kind of salt
37397	56718	uddyota	adj	ADJ	3	flashing up; shining
37398	171449	avalag	1.P.	VERB	3	to hang down
37399	133353	mukulīkṛta	adj	ADJ	3	closed; shut (as a bud)
37400	2605	karuṇa	m	NOUN	3	one of the Rasas or sentiments of a poem; pathetic sentiment; Citrus Decumana; Buddha; name of an Asura
37401	176871	kṛtārthīkṛ	8.P.,8.Ā.	VERB	3	to make successful; to make sth. happen
37402	212414	paruṣīkṛ	8.P.	VERB	3	to soil; to stain; to treat roughly
37403	694	kañculikā	f	NOUN	3	bodice; corset; [alchemy] = kañcuka (?)
37404	116136	mukhī	f	NOUN	3	a kind of scissors or an instrument pointed like a heron's beak
37405	38125	ullāpin	adj	ADJ	3	calling out in a coaxing or complimentary manner
37406	176893	ślathīkṛ	8.P.,8.Ā.	VERB	3	
37407	176915	maugdhya	n	NOUN	3	simplicity; innocence; inexperience; a feminine grace; charm; beauty
37408	60906	asahana	adj	ADJ	3	not able to endure; unenduring; envious; jealous
37409	164629	vyādhū	5.P.	VERB	3	to shake off; to shake to and fro; to move or toss about
37410	161692	paricumb	1.P.,1.Ā.	VERB	3	to kiss heartily or passionately; to cover with kisses; to touch closely
37411	1982	kapolabhitti	f	NOUN	3	cheek-bone
37412	31485	abhyudgama	m	NOUN	3	rising from a seat to honour any one
37413	58676	āpāṇḍura	adj	ADJ	3	palish; pale; white
37414	143444	pumbhāva	m	NOUN	3	the being a man; manhood; masculine gender
37415	174503	vimārg	Denom.P.,Denom.Ā.	VERB	3	to hunt
37416	7222	atibhūmi	f	NOUN	3	extensive land; culmination; eminence; superiority; excess
37417	63346	itivṛtta	n	NOUN	3	occurrence; event
37418	210970	vātavyādhi	m	NOUN	3	name of an ancient teacher; [medic.] a group of diseases
37419	5307	akṛta	n	NOUN	3	an act never before committed
37420	208520	pratikartṛ	adj	ADJ	3	recompensing
37421	56481	udāsthita	m	NOUN	3	an ascetic who instead of fulfilling his vow is employed as a spy or emissary; a superintendent; a door-keeper
37422	140173	pratyavasita	adj	ADJ	3	relapsed into the old (bad) way of life; consumed; eaten
37423	121148	vyāvahārika	m	NOUN	3	a counsellor; minister; official; name of a Buddhist school
37424	90778	dvaṃdvin	adj	ADJ	3	forming a couple; opposed to one another; contradictory; antagonistic
37425	28409	nisṛṣṭārtha	adj	ADJ	3	intrusted with something; authorized
37426	204400	ācūṣ	1.P.	VERB	3	
37427	94005	pāragrāmika	adj	ADJ	3	hostile; inimical
37428	200348	prasañjay	10.P.	VERB	3	to make someone addicted to (instr.)
37429	203217	māhānasika	adj	ADJ	3	kitchen ...
37430	5079	kośagṛha	n	NOUN	3	a treasury; room in which valuable garments, precious stones etc. are kept
37431	118449	vairantya	m	NOUN	3	name of a king
37432	211114	saṃkhyāyaka	m	NOUN	3	
37433	211119	āhitaka	m	NOUN	3	person who is given to the creditor as a pledge for repayment of a debt; an article given as a pledge for repayment of a debt
37434	19522	parivāha	m	NOUN	3	the overflowing of a tank; a natural or artificial inundation; a watercourse or drain to carry off excess of water
37435	86731	devapatha	mn	NOUN	3	heaven; the Milky Way; name of place of pilgrimage
37436	24191	kuṭhārī	f	NOUN	3	an axe
37437	155604	pravīra	adj	ADJ	3	preceding or surpassing heroes
37438	59301	ārakṣā	f	NOUN	3	protection; guard
37439	169783	āpātay	10.P.	VERB	3	to let sth. drop
37440	44962	upajā	f	NOUN	3	distant or not immediate posterity; descendants; an addition; an increase; progeny
37441	211164	utpādika	adj	ADJ	3	originating
37442	211171	nīvīka	adj	ADJ	3	
37443	202373	avaghoṣay	10.P.,10.Ā.	VERB	3	
37444	151313	prajñāpana	fn	NOUN	3	assertion; statement
37445	208727	nisṛṣṭi	f	NOUN	3	
37446	208270	pratilekha	m	NOUN	3	an answering letter
37447	6346	acāru	adj	ADJ	3	not pretty
37448	14282	kārdamika	adj	ADJ	3	muddy; mud-stained
37449	34686	nistala	adj	ADJ	3	not flat; round; globular; trembling; moving; down; below
37450	45667	upaśīrṣaka	n	NOUN	3	a kind of disease of the head; a kind of necklace or garland
37451	214218	māleyaka	mn	NOUN	3	[gemm.] a kind of mineral
37452	208807	anulepin	adj	ADJ	3	anointed with (ifc.)
37453	151169	prakīrṇaka	adj	ADJ	3	scattered; dispersed; occurring singly or in single instances; mixed; containing various things
37454	124751	gośīrṣaka	mn	NOUN	3	the shrub Droṇa-puṣpī; a kind of sandal-wood
37455	81657	lepin	adj	ADJ	3	besmearing or covering; smeared or covered with
37456	216111	śākulā	f	NOUN	3	
37457	204627	naipālaka	n	NOUN	3	a kind of copper; = nepāla
37458	205990	kāliṅga	adj	ADJ	3	coming from Kaliṅga
